,Age,Age1stCode,ConvertedComp,WorkWeekHrs,YearsCodePro,CompTotal,MainBranch_encoded,Country_encoded,CurrencyDesc_encoded,CurrencySymbol_encoded,DevType_encoded,EdLevel_encoded,DatabaseDesireNextYear_encoded,DatabaseWorkedWith_encoded,JobSat_encoded,YearsCode_encoded,PlatformWorkedWith_encoded,Employment_encoded,LanguageWorkedWith_encoded,Gender_encoded,JobSeek_encoded,OpSys_encoded
Age,1.0,0.12273325780232505,0.12420838106237325,0.03682055999519583,0.5592664991904089,0.0,-0.11202649158501253,0.09402889292958774,-0.03849548395549771,-0.06068787196813412,-0.09591795745086416,-0.027446147727079824,0.015803840741845418,-0.0266605096725089,-0.06498739682753077,-0.09499598982998168,-0.003352817209144084,-0.17784052796397956,-0.03529690424521859,-0.08293395170288181,-0.002716668753454427,-0.0175976521740275
Age1stCode,0.12273325780232505,1.0,0.0701720393073724,0.039026530742112854,-0.12897813219905332,0.0,0.01649308214843755,-0.037498447131289483,0.005428688712022268,0.024124688855054945,-0.00010866338639742167,-0.058984748105331324,0.001853799246602291,0.05557063812687163,-0.0088891568745279,0.055634788292185614,0.0639393244199359,-0.018640833705787133,0.16583646163935323,0.052934038132163665,-0.019431474996116957,0.06405305637694002
ConvertedComp,0.12420838106237325,0.0701720393073724,1.0,0.06851903382395585,0.17190982659619888,0.0,-0.0502936600485878,0.05746243849138353,0.014472920945489213,-0.00085174171986537,-0.06260724578652586,-0.05525792361244216,0.0023538621667682884,-0.02255744148926881,-0.030327626189624705,-0.07362088080364951,-0.01831749123324308,-0.03255245999722745,-0.026738654549174373,-0.04045520630355012,-0.014925209008590044,-0.022222892176146525
WorkWeekHrs,0.03682055999519583,0.039026530742112854,0.06851903382395585,1.0,0.06555532458600859,-0.0,-0.02184384520281946,0.008133359749007302,0.036960068999691856,0.04481421020596732,-0.013190228622514911,0.004794337817974599,-0.004566842343838259,-0.014553567513596185,0.03614085911179869,-0.02415299599193408,-0.007965568249609124,0.012132809778723939,-0.009655073040122994,-0.00013388182963178124,0.018601906918640988,0.00322335588497454
YearsCodePro,0.5592664991904089,-0.12897813219905332,0.17190982659619888,0.06555532458600859,1.0,0.0,-0.03444541430839592,0.09041905365516145,0.055302806224636854,0.031239753743826527,-0.04180267848566542,0.05862027883682325,0.019141922871202706,-0.034575367310959886,0.04204163263341924,-0.10220343172102067,-0.012890138657113484,0.02145211521869899,-0.12040747850188088,-0.05545561434922473,0.017838022385295943,-0.01138174702250294
CompTotal,0.0,0.0,0.0,-0.0,0.0,,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
MainBranch_encoded,-0.11202649158501253,0.01649308214843755,-0.0502936600485878,-0.02184384520281946,-0.03444541430839592,0.0,1.0,-0.03097021722268609,0.030609682832999426,0.036088130201652496,0.1351340372608108,0.0009101408045233785,-0.02947013760941089,-0.015718978829959002,0.0460317287820235,0.0104894595859049,-0.026022188227158297,0.13497026145219718,-0.00702895160964806,0.008214192007252282,-0.20001940684408875,0.011423071007881343
Country_encoded,0.09402889292958774,-0.037498447131289483,0.05746243849138353,0.008133359749007302,0.09041905365516145,0.0,-0.03097021722268609,1.0,0.5360359066569328,0.41538844316124973,-0.00726109173437668,-0.03887635073288569,0.016176710883525115,-0.018323651904852377,-0.002268004290162057,-0.02439108320562,-0.03607274079914443,-0.03707687546483298,-0.06922220507836892,-0.021839596211246395,-0.013168004250918094,0.007818696292621989
CurrencyDesc_encoded,-0.03849548395549771,0.005428688712022268,0.014472920945489213,0.036960068999691856,0.055302806224636854,-0.0,0.030609682832999426,0.5360359066569328,1.0,0.9361396958613027,0.21243316662781664,0.2286250735822107,0.07787488931358201,0.07911663311171636,0.47758322916051005,0.18238144280825672,0.07483617044246026,0.42122587467103506,0.017137499830753425,0.21570788146562137,0.1766702385691739,0.14245114594984712
CurrencySymbol_encoded,-0.06068787196813412,0.024124688855054945,-0.00085174171986537,0.04481421020596732,0.031239753743826527,-0.0,0.036088130201652496,0.41538844316124973,0.9361396958613027,1.0,0.2216427315628906,0.2420085070797755,0.07281577112015013,0.0874805910407896,0.4984594058634703,0.20055772528491242,0.0849184669413129,0.4497826485638181,0.03802351701928166,0.23214660254788752,0.19392146245698602,0.14667130984566454
